state,abb,latitude,longitude,num_of_tweets,relevant_tweets,top_keywords,top_hashtags
Minnesota,MN,45.694454,-93.900192,29695,8998,"cough, weaknes, now, fever","#fever, #yoga, #headache, #fatigue"
Maryland,MD,39.063946,-76.802101,47260,16257,"cough, fever, headache, now","#headache, #nbafinals, #cough, #neverhilary"
Arkansas,AR,34.969704,-92.373123,20306,5726,"cough, fever, headache, weaknes","#health, #maga, #fever, #hackinghilary"
Delaware,DE,39.318523,-75.507141,4188,1143,"weaknes, cough, chils, fever","#fever, #ripchristina, #headache, #fevertrailer"
Massachusetts,MA,42.230171,-71.530106,55772,17735,"weaknes, seizure, chils, body","#headache, #neverhilary, #yoga, #fever"
Hawaii,HI,21.094318,-157.498337,11770,3684,"fever, cough, chils, strength","#fever, #chils, #headache, #pain"
New Mexico,NM,34.840515,-106.248482,15407,4992,"weaknes, fever, headache, cough","#health, #blacklivesmater, #ripchristina, #pushawardskathniels"
Virginia,VA,37.769337,-78.169968,53367,14142,"weaknes, fever, headache, sore","#fever, #nowplaying, #sickhilary, #pain"
Iowa,IA,42.011539,-93.210526,14834,4094,"fever, chils, headache, unconscious","#health, #fever, #headache, #pain"
Louisiana,LA,31.169546,-91.867805,84582,26728,"fever, cough, weaknes, chils","#fever, #blacklivesmater, #fatigue, #pain"
Nebraska,NE,41.12537,-98.268082,14751,3880,"fever, headache, fatigue, unconscious","#health, #asmsg, #fever, #nowplaying"
Texas,TX,31.054487,-97.563461,328080,96784,"headache, unconscious, fever, weaknes","#health, #pain, #hackinghilary, #neverhilary"
Rhode Island,RI,41.680893,-71.51178,486,129,"headache, weaknes, seizure, cough","#fever, #fatigue, #headache, #backpain"
Maine,ME,44.693947,-69.381927,3730,1044,"weaknes, fever, headache, pain","#headache, #fatigue, #nowplaying, #pain"
New York,NY,42.165726,-74.948051,16621,5036,"weaknes, cough, headache, seizure","#fever, #blacklivesmater, #news, #chils"
Ohio,OH,40.388783,-82.764915,91701,25401,"fever, unconscious, chils, headache","fever, #pushawardslizquens, #pain, #backpain"
